DATE_OF_INTEREST,Cases,7-day average,INCOMPLETE,BASELINE
02/29/2020,1,null,null,0
03/03/2020,1,null,null,0
03/04/2020,5,null,null,0
03/05/2020,3,null,null,0
03/06/2020,8,null,null,0
03/07/2020,7,null,null,0
03/08/2020,21,7,null,0
03/09/2020,57,15,null,0
03/10/2020,70,24,null,0
03/11/2020,155,46,null,0
03/12/2020,357,96,null,0
03/13/2020,619,184,null,0
03/14/2020,642,274,null,0
03/15/2020,1036,419,null,0
03/16/2020,2121,714,null,0
03/17/2020,2452,1055,null,0
03/18/2020,2971,1457,null,0
03/19/2020,3707,1935,null,0
03/20/2020,4007,2419,null,0
03/21/2020,2637,2704,null,0
03/22/2020,2579,2925,null,0
03/23/2020,3570,3132,null,0
03/24/2020,4503,3425,null,0
03/25/2020,4874,3697,null,0
03/26/2020,5047,3888,null,0
03/27/2020,5118,4047,null,0
03/28/2020,3479,4167,null,0
03/29/2020,3562,4308,null,0
03/30/2020,6129,4673,null,0
03/31/2020,5464,4810,null,0
04/01/2020,5450,4893,null,0
04/02/2020,5747,4993,null,0
04/03/2020,5670,5072,null,0
04/04/2020,3866,5127,null,0
04/05/2020,3782,5158,null,0
04/06/2020,6353,5190,null,0
04/07/2020,6045,5273,null,0
04/08/2020,5581,5292,null,0
04/09/2020,5071,5195,null,0
04/10/2020,4513,5030,null,0
04/11/2020,3731,5011,null,0
04/12/2020,2888,4883,null,0
04/13/2020,3313,4449,null,0
04/14/2020,4146,4178,null,0
04/15/2020,3877,3934,null,0
04/16/2020,3528,3714,null,0
04/17/2020,3584,3581,null,0
04/18/2020,2172,3358,null,0
04/19/2020,2346,3281,null,0
04/20/2020,3794,3350,null,0
04/21/2020,3064,3195,null,0
04/22/2020,3461,3136,null,0
04/23/2020,2842,3038,null,0
04/24/2020,2535,2888,null,0
04/25/2020,1597,2806,null,0
04/26/2020,1003,2614,null,0
04/27/2020,2289,2399,null,0
04/28/2020,2728,2351,null,0
04/29/2020,2341,2191,null,0
04/30/2020,2022,2074,null,0
05/01/2020,1889,1981,null,0
05/02/2020,1058,1904,null,0
05/03/2020,786,1873,null,0
05/04/2020,1551,1768,null,0
05/05/2020,1512,1594,null,0
05/06/2020,1398,1459,null,0
05/07/2020,1237,1347,null,0
05/08/2020,1082,1232,null,0
05/09/2020,658,1175,null,0
05/10/2020,458,1128,null,0
05/11/2020,1232,1082,null,0
05/12/2020,1285,1050,null,0
05/13/2020,1335,1041,null,0
05/14/2020,1112,1023,null,0
05/15/2020,875,994,null,0
05/16/2020,486,969,null,0
